Customer ID,Country
12682,France
12636,USA
12362,Belgium
16321,Australia
14911,EIRE
12533,Germany
12615,France
14156,EIRE
12490,France
12758,Portugal
12523,France
12755,Japan
12435,Denmark
12471,Germany
12437,France
14646,Netherlands
12779,Poland
12705,Germany
12484,Spain
14277,France
12577,France
14564,Channel Islands
12714,France
12525,France
12759,Netherlands
12349,Italy
12510,Spain
12359,Cyprus
13813,Germany
12417,Belgium
12583,France
17508,Greece
12600,Germany
12677,France
12424,Australia
12443,Norway
12540,Spain
12358,Austria
12785,Portugal
13902,Denmark
12487,Sweden
12712,Germany
12472,Germany
12709,Germany
12979,United Arab Emirates
12664,Finland
12681,France
12683,France
12439,Cyprus
12613,Germany
12586,Italy
12557,Spain
13520,Switzerland
12708,Germany
12455,Cyprus
12422,Australia
12609,Germany
12440,Austria
12539,Spain
17404,Sweden
12678,France
12648,Germany
14016,EIRE
12549,USA
12406,Denmark
12623,Germany
12649,Germany
12647,Germany
12644,Germany
12431,Belgium
12789,Netherlands
12631,Finland
12813,Netherlands
14442,Channel Islands
12470,Unspecified
12468,Germany
12589,France
12733,USA
14439,Greece
12531,Germany
12703,Germany
12361,Belgium
12745,EIRE
12606,Spain
12454,Spain
12706,Finland
12404,Finland
12382,Netherlands
12466,France
16291,Portugal
12555,Spain
14912,Italy
16047,EIRE
12792,Portugal
12696,Finland
15357,Unspecified
12497,Germany
15702,Nigeria
12570,Spain
16320,Unspecified
12483,Sweden
12668,Germany
12810,Japan
12800,Portugal
12711,Germany
15480,Malta
12805,Netherlands
12396,RSA
12373,Austria
12500,Germany
12402,Belgium
12524,Germany
12665,Germany
12370,Austria
12645,Germany
12621,Germany
12663,Germany
12776,Portugal
12474,Germany
12670,France
12567,France
13815,Germany
12695,France
12426,Germany
12391,Cyprus
12380,Belgium
12416,Australia
12360,Austria
12389,Australia
17829,United Arab Emirates
12727,France
12482,Sweden
12598,France
12731,France
12809,Portugal
12594,Italy
12431,Australia
12371,Switzerland
12399,Belgium
12568,Germany
12530,Germany
12369,Austria
12765,Netherlands
12514,Italy
12495,Sweden
12542,Spain
12638,Sweden
12692,France
12366,Cyprus
12701,Germany
15760,Norway
14939,Channel Islands
12418,Switzerland
12796,Netherlands
12368,Cyprus
12639,Sweden
12742,United Arab Emirates
12726,France
12791,Netherlands
12477,Germany
12496,Spain
14935,Channel Islands
12662,Germany
14265,Unspecified
12770,Japan
12643,France
12786,Netherlands
12481,Germany
12590,Germany
14930,Channel Islands
12671,Germany
12459,Spain
12778,Netherlands
12395,Belgium
12516,Germany
12780,Netherlands
12588,Finland
12504,Germany
12625,Germany
12672,France
12392,Australia
12744,Singapore
12876,Belgium
12717,Greece
12698,Germany
12377,Switzerland
12806,Netherlands
12374,Austria
12507,Spain
12725,Italy
12503,Spain
14936,Channel Islands
12388,Australia
12675,Italy
12582,Finland
12599,France
12580,Germany
12494,France
13501,Switzerland
12422,Switzerland
12355,Bahrain
12409,Switzerland
12632,Germany
12773,Portugal
12802,Netherlands
12656,France
14938,Channel Islands
12378,Switzerland
12619,Germany
12499,Germany
12874,Belgium
12634,USA
12429,Denmark
12637,France
13919,Denmark
12412,Denmark
12469,Thailand
12774,Netherlands
12724,France
12379,Belgium
14566,Channel Islands
12741,USA
12451,Switzerland
12784,Portugal
12485,Sweden
12527,Germany
12799,Japan
12788,Netherlands
12529,France
12415,Australia
13814,Germany
12575,France
12653,Israel
12576,Poland
12633,Germany
12693,Germany
12403,Denmark
12730,Germany
12782,Portugal
12592,Germany
15332,Lithuania
12480,Germany
12720,Germany
12421,Spain
12595,Germany
12866,Belgium
12410,Switzerland
12476,Germany
12801,Sweden
12804,Netherlands
12547,Spain
12737,France
12408,Belgium
12458,Switzerland
12771,Portugal
12676,Sweden
12687,Sweden
12519,Germany
12433,Norway
12865,Austria
12450,Spain
18140,West Indies
12721,France
12423,Denmark
12651,France
12573,France
12761,Netherlands
12414,Austria
12808,Portugal
13809,Cyprus
12605,Germany
12635,Germany
12460,Belgium
12760,Netherlands
12768,Korea
12554,Spain
12425,Portugal
12543,Spain
12751,Brazil
14933,Channel Islands
12578,Italy
14934,Channel Islands
12449,Denmark
12348,Finland
12661,Sweden
12562,France
14568,Channel Islands
12457,Switzerland
12417,Spain
12817,Austria
12652,Germany
12486,Sweden
17097,Spain
13022,Belgium
12511,Greece
12393,Australia
12811,Portugal
12356,Portugal
12797,Portugal
12655,France
12553,France
12467,USA
12629,Sweden
12798,Japan
12694,France
12691,France
12445,Spain
12376,Switzerland
12699,Germany
12387,Australia
12400,Australia
12419,Spain
12787,Netherlands
12790,Netherlands
12475,Germany
12411,Australia
12775,Netherlands
15390,Canada
12537,Sweden
12505,Italy
12563,Italy
12591,Italy
12353,Bahrain
12766,Portugal
12601,Germany
12347,Iceland
12492,Germany
12413,Spain
12673,Germany
12793,Portugal
15481,Norway
12739,United Arab Emirates
12666,Israel
12803,Netherlands
12352,Norway
12734,France
12357,Switzerland
12616,France
12423,Belgium
12807,Sweden
14932,Channel Islands
12728,France
12434,Australia
12385,Belgium
12538,Spain
12767,Korea
12351,Unspecified
12738,Germany
12686,France
12427,Germany
12763,Japan
12386,Australia
12441,France
